IATA	ICAO	JapaneseName	EnglishName	Country	City
AAA	NTGA	A naa A irport フランス領ポリネシア			
AAB	YARY	A rrabury A irport オーストラリア			
AAC	HEAR	アル・アリーシュ国際空港 El A rish International A irport エジプト			
AAD		A d-Dabbah A irport スーダン			
AAE	DABB	Rabah Bitat A irport (Les Salines A irport) アルジェリア			
AAF	KAAF	A palachicola Regional A irport アメリカ			
AAG	SSYA	A rapoti A irport ブラジル			
AAH	EDKA	Merzbrück A irport ドイツ			
AAI	SWRA	A rraias A irport ブラジル			
AAJ	SMCA	Cayana A irstrip スリナム			
AAK	NGUK	A ranuka A irport キリバス			
AAL	EKYT	オールボー空港 A alborg A irport デンマーク オールボー			
AAM	FAMD	Mala Mala A irport 南アフリカ			
AAN	OMAL	アルアイン国際空港 A l A in International A irport アラブ首長国連邦 アル・アイン			
AAO	SVAN	A naco A irport ベネズエラ			
AAP	KAAP	A ndrau A irpark アメリカ ヒューストン			
AAQ	URKA	A napa A irport ロシア			
AAR	EKAH	オーフス空港 A arhus A irport デンマーク オーフス			
AAS		A palapsili A irport インドネシア			
AAT	ZWAT	アルタイ空港 A ltay A irport 中国 アルタイ市			
AAU	NSAU	アサウ空港 A sau A irport サモア アサウ			
AAV	RPMA	A llah Valley A irport フィリピン			
AAW	OPAB	A bbottabad A irport パキスタン			
AAX	SBAX	A raxá A irport ブラジル			
AAY	OYGD	A l Ghaydah A irport イエメン			
AAZ	MGQZ	ケツァルテナンゴ空港 Quetzaltenango A irport グアテマラ ケツァルテナンゴ			
ABA	UNAA	A bakan A irport ロシア			
ABB	DNAS	アサバ国際空港 A saba International A irport ナイジェリア アサバ			
ABC	LEAB	A lbacete A irport スペイン			
ABD	OIAA	A badan A irport イラン			
ABE	KABE	リーハイ・バレー国際空港 Lehigh Valley International A irport アメリカ アレンタウン			
ABF	NGAB	A baiang A toll A irport キリバス			
ABG	YABI	A bingdon A irport オーストラリア			
ABH	YAPH	A lpha A irport オーストラリア			
ABI	KABI	アビリーン空港 A bilene Regional A irport アメリカ アビリーン			
ABJ	DIAP	フェリックス・ウフエ・ボワニ国際空港 Felix Houphouet B oigny International A irport コートジボワール アビジャン			
ABK	HAKD	Kabri Dar A irport エチオピア			
ABL	PAFM	A mbler A irport (F A A : A FM) アメリカ アンブラー			
ABM	YBAM	B amaga Injinoo A irport オーストラリア			
ABN	SMBN	A lbina A irport スリナム			
ABO	DIAO	A boisso A irport コートジボワール			
ABP		A tkamba A irport パプアニューギニア			
ABQ	KABQ	アルバカーキ国際空港 A lbuquerque International Sunport アメリカ アルバカーキ			
ABR	KABR	A berdeen Regional A irport アメリカ アバディーン			
ABS	HEBL	アブ・シンベル空港 A bu Simbel A irport エジプト アブ・シンベル			
ABT	OEBA	A l- B aha Domestic A irport サウジアラビア			
ABU	WATA	ハリウェン空港 Haliwen A irport インドネシア			
ABV	DNAA	ンナムディ・アジキウェ国際空港 Nnamdi A zikiwe International A irport ナイジェリア アブジャ			
ABW		A bau A irport パプアニューギニア			
ABX	YMAY	A lbury A irport オーストラリア オルベリー			
ABY	KABY	Southwest Georgia Regional A irport アメリカ			
ABZ	EGPD	アバディーン空港 A berdeen A irport イギリス アバディーン			
ACA	MMAA	アカプルコ国際空港 A capulco International A irport メキシコ アカプルコ			
ACB	KACB	A ntrim C ounty A irport アメリカ			
ACC	DGAA	コトカ国際空港 Kotoka International A irport ガーナ アクラ			
ACD	SKAD	A lcides Fernández A irport コロンビア			
ACE	GCRR	ランサローテ空港 Lanzarote A irport スペイン アレシフェ			
ACH	LSZR	St. Gallen A ltenrhein A irport スイス			
ACI	EGJA	A lderney A irport イギリス			
ACJ	VCCA	アヌラーダプラ空港 A nuradhapura A irport スリランカ アヌラーダプラ			
ACK	KACK	ナンタケット・メモリアル空港 Nantucket Memorial A irport アメリカ ナンタケット			
ACL		A guaclara A irport コロンビア			
ACM		A rica A irport コロンビア アリカ			
ACN	MMCC	シウダット・アクナ国際空港 C iudad A cuña International A irport メキシコ シウダット・アクナ			
ACP	OITM	Sahand A irport イラン			
ACR	SKAC	A raracuara A irport コロンビア			
ACS	UNKS	A chinsk A irport ロシア			
ACT	KACT	ウェイコ・リージョナル空港 Waco Regional A irport アメリカ ウェイコ			
ACU		A chutupo A irport パナマ			
ACV	KACV	アルケータ・ユーリカ空港 A rcata-Eureka A irport アメリカ マッキンリービル			
ACX	ZUYI	Xingyi Wanfenglin A irport 中国			
ACY	KACY	アトランティック・シティ国際空港 A tlantic C ity International A irport アメリカ アトランティックシティ			
ACZ	OIZB	Zabol A irport イラン			
ADA	LTAF	アダナ・シャキルパシャ空港 A dana Şakirpaşa A irport トルコ アダナ			
ADB	LTBJ	アドナン・メンデレス空港 A dnan Menderes A irport トルコ イズミール			
ADC	AYAN	A ndakombe A irport パプアニューギニア			
ADD	HAAB	ボレ国際空港 Bole International A irport エチオピア アディスアベバ			
ADE	OYAA	アデン国際空港 A den International A irport イエメン アデン			
ADF	LTCP	A dıyaman A irport トルコ			
ADG	KADG	Lenawee County A irport アメリカ エイドリアン			
ADH	UEEA	A ldan A irport ロシア			
ADI	FYAR	A randis A irport ナミビア			
ADJ	OJAM	マルカ国際空港 Marka International A irport ヨルダン アンマン			
ADK	PADK	A dak Island A irport アメリカ アダック島			
ADL	YPAD	アデレード空港 A delaide A irport オーストラリア アデレード			
ADM	KADM	A rdmore Municipal A irport アメリカ			
ADN	SKAN	A ndes A irport コロンビア			
ADO	YAMK	A ndamooka A irport オーストラリア アンダムーカ			
